web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,Fuel Type,vin,mileage,color,Color 2,internet price,photo urls,Doors,Vehicle Type,description,trim,certified,condition,special_price,pagination,pagination-href
"1654709431-1","https://www.schrecksauto.com/all-inventory","2022 7x16  Wells Cargo Road Force Enclosed Cargo Trailer","https://www.schrecksauto.com/2022-7x16-wells-cargo-road-force-enclosed-cargo-trailer-eecm%7CUnh.html"," 7x16 roadforce 521","2022","
                Wells Cargo","
                Road Force","","","","","","","","","
                    Silver","
                    Silver","14,900.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_plgKQa.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_UDnaam.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_u2TFEe.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_bPOp8K.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_macrjs.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_6ogUxk.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_CPIWOm.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_AoJJIG.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_gDaz6e.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_TiXps8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/qIhX7Y/2022_7x12__Wells_Cargo_Road_Force_Enclosed_Cargo_Trailer_bRYJZw.jpg""}]","","","","","","
                new","13,856.00","",""
"1654709437-2","https://www.schrecksauto.com/all-inventory","2021 Doolittle Trailer Mfg 77x16 HD pro series Utility Trailer","https://www.schrecksauto.com/2021-doolittle-trailer-mfg-77x16-hd-pro-series-utility-trailer-c7dm%7CUnh.html"," 77 x 16 pt tandem","2021","
                Doolittle Trailer Mfg","
                77x16 HD pro series with","","","","","","","","","","","5,995.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x16_HD_pro_series_Utility_Trailer_eezwAK.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x16_HD_pro_series_Utility_Trailer_bCmNGa.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_91D6I4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_UZ5prM.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_xpz3Oy.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_3Qb4r2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_Ebp7j6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_wW9x2W.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_Pn3AKe.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_7hNzf6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_ayHDCi.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_4FAQlM.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_m9VG4m.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_FQOTMu.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_L10Unw.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_QbcWEy.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_tsVjma.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YQSm3s/2021_Doolittle_Trailer_Mfg_77x14_HD_pro_series_Utility_Trailer_zT7lDc.jpg""}]","","","","","","
                new","5,511.00","",""
"1654709440-3","https://www.schrecksauto.com/all-inventory","RENT TO OWN! 2022 102 Ironworks EVERYONE IS APPROVED Car / Racing Trailer","https://www.schrecksauto.com/rent-to-own-2022-102-ironworks-everyone-is-approved-car-racing-trailer-o6Vm%7CUnh.html"," RENT TO OWN","2022","
                102 Ironworks","
                EVERYONE IS APPROVED","","","","","","","","","","","","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/fxiKBc/2022_102_Ironworks_EVERYONE_IS_APPROVED_Car__Racing_Trailer_P8OpdY.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/fxiKBc/2022_102_Ironworks_EVERYONE_IS_APPROVED_Car__Racing_Trailer_3aW64G.jpg""}]","","","","","","
                new","","",""
"1654709443-4","https://www.schrecksauto.com/all-inventory","2021 Doolittle Trailer Mfg 66 x 10 Utility Trailer","https://www.schrecksauto.com/2021-doolittle-trailer-mfg-66-x-10-utility-trailer-F3dm%7CUnh.html"," 66 x 10 pt","2021","
                Doolittle Trailer Mfg","
                66x 10 pipe top utility","","","","","","","","","","","3,400.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/NwQdfc/2021_Doolittle_Trailer_Mfg_66_x_12_Utility_Trailer_iJdL4y.jpg""}]","","","","","","
                new","2,899.00","",""
"1654709446-5","https://www.schrecksauto.com/all-inventory","2022 Wells Cargo 8.5 x 16 deluxe 7 tall  Enclosed Cargo Trailer","https://www.schrecksauto.com/2022-wells-cargo-8-NVcm%7CUnh.html"," 8.5 x 16 t2d 3659","2022","
                Wells Cargo","
                ft8516t2-d","","","","","","","","","
                    White","
                    White","13,833.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VurEye/2022_Wells_Cargo_8.5_x_16_deluxe_7_tall__Enclosed_Cargo_Trailer_Ocssd6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VurEye/2022_Wells_Cargo_8.5_x_16_deluxe_7_tall__Enclosed_Cargo_Trailer_gxyAsq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VurEye/2022_Wells_Cargo_8.5_x_16_deluxe_7_tall__Enclosed_Cargo_Trailer_AErOAy.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VurEye/2022_Wells_Cargo_8.5_x_16_deluxe_7_tall__Enclosed_Cargo_Trailer_1C1nqC.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VurEye/2022_Wells_Cargo_8.5_x_16_deluxe_7_tall__Enclosed_Cargo_Trailer_FpTPc0.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VurEye/2022_Wells_Cargo_8.5_x_16_deluxe_7_tall__Enclosed_Cargo_Trailer_USv1No.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VurEye/2022_Wells_Cargo_8.5_x_16_deluxe_7_tall__Enclosed_Cargo_Trailer_j6Md9c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VurEye/2022_Wells_Cargo_8.5_x_16_deluxe_7_tall__Enclosed_Cargo_Trailer_xjoEvQ.jpg""}]","","","","","","
                new","12,705.00","",""
"1654709448-6","https://www.schrecksauto.com/all-inventory","2022 Texoma 20' 4"" Frame Car Hauler 7K Trailer","https://www.schrecksauto.com/2022-texoma-20-4-frame-car-hauler-7k-trailer-HALl%7CUnh.html"," texoma20steel","2022","
                Other","
                20 ft 4 in. Frame Car Hauler","","","","","","","","","
                    Black","
                    Black","6,199.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_qjX3qK.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_wK95HM.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_nHJUwa.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_GYCiEi.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_jp5vmK.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_RjQl6m.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_XK2mXo.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_0aw06S.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_TrpDe4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_x8iQvA.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_2jKSNE.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_8JwToG.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_baphLs.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_SY0716.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_ASKw52.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_1PVLkG.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_sMflOS.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_CajOcK.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/q9i8FE/2022_Texoma_18_4_Frame_Car_Hauler_7K_Trailer_REB0O8.jpg""}]","","","","","","
                new","5,899.00","",""
"1654709454-7","https://www.schrecksauto.com/all-inventory","2021 Doolittle Trailer Mfg 84 x 12 Utility Trailer","https://www.schrecksauto.com/2021-doolittle-trailer-mfg-84-x-12-utility-trailer-d1dm%7CUnh.html"," 84x12ss","2021","
                Doolittle Trailer Mfg","
                84 x12 ss utility","","","","","","","","","","","4,430.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_PikV9c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_Gfuuoq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_7d5KU4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_yaFk8G.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_Rr8xgu.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_IoJN5c.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_9lTmkq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_0ieCQ4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_TzXPxg.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_Kwhpcu.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_BtsFI8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_QXJr3w.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/GPMJWK/2021_Doolittle_Trailer_Mfg_84_x_14_Utility_Trailer_HUUGjA.jpg""}]","","","","","","
                new","3,430.46","",""
"1654709457-8","https://www.schrecksauto.com/all-inventory","2015 Jeep Sahara SUV","https://www.schrecksauto.com/2015-jeep-sahara-suv-CFPl%7CUnh.html"," FL507270","2015","
                Jeep","
                Sahara","","","","","","","
                    1C4BJWEG1FL507270","","","","38,500.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_3HmTM8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_zpYuRM.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_T6S7jU.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_Yh49AW.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_VEqaGm.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_apSbho.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_IjnQlk.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_cxr3ya.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_Tv1Tdo.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_ZVdV4q.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_f6FWVs.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_kgrXgO.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_hEdyme.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_P8yo76.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_73JdRY.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_aKCqie.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_IEXg36.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_Np9hU8.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_EmK79M.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_KMw8aO.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/EOd6sC/2015_Jeep_Sahara_SUV_2HGxuq.jpg""}]","","","","","","
                used","31,995.00","",""
"1654709459-9","https://www.schrecksauto.com/all-inventory","2022 Wells Cargo Road Force V Nose Enclosed Cargo Trailer","https://www.schrecksauto.com/2022-wells-cargo-road-force-v-nose-enclosed-cargo-trailer-Xfcm%7CUnh.html"," 8.5 x 24 race escape door base","2022","
                Wells Cargo","
                Road Force V Nose","","","","","","","","","","","23,000.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/9WFemu/2022_Wells_Cargo_Road_Force_V_Nose_Enclosed_Cargo_Trailer_nd1ovY.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/9WFemu/2022_Wells_Cargo_Road_Force_V_Nose_Enclosed_Cargo_Trailer_kAoFlI.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/9WFemu/2022_Wells_Cargo_Road_Force_V_Nose_Enclosed_Cargo_Trailer_bdEQ9A.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/9WFemu/2022_Wells_Cargo_Road_Force_V_Nose_Enclosed_Cargo_Trailer_iPN9Ie.jpg""}]","","","","","","
                new","19,613.00","",""
"1654709462-10","https://www.schrecksauto.com/all-inventory","2022 Wells Cargo Motor Trac SS Aluminum Race 28 foot 14K Cargo / Enclosed Trailer","https://www.schrecksauto.com/2022-wells-cargo-motor-trac-ss-aluminum-race-28-foot-14k-cargo-enclosed-trailer-Ddcm%7CUnh.html"," nu003381","2022","
                Wells Cargo","
                Motor Trac SS Aluminum Race 28 foot 14K","","","","","","","
                    7kd1e2825nu003381","","
                    White","
                    White","59,000.00","[{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/S9PSoi/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_EnoN3gqd0xae.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/QJ17Oi/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_EnoN3g679aca.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/WBGs40/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_EnoN3ghzmtgf.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/k47qnA/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_r7XCGe6jkkvo.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/4Y2g7M/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_r7XCGe8rupmw.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/VCjuZk/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_r7XCGehd4fhn.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/IsbkQ4/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_r7XCGeaxh9x9.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/gEXavA/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_TRG0Qah33o5p.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/YdufGC/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_TRG0Qax6w6uq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/gvP1Yu/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_TRG0Qabzeb26.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/cm5e9Q/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_TRG0Qarwpfqd.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/I7X5Jg/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_5kymSOco9n33.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/riRZ8y/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_5kymSOxb0zqt.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/xQ7lDM/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_5kymSO8aifzq.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/tqrRK4/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_5kymSOqq2e4i.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/LS8JWK/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_i4hbfMf5gp8i.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/PG0ybw/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_i4hbfM2al0gv.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/xS6x7o/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_i4hbfMdc21a3.jpg""},{""photo urls"":"""",""photo urls-src"":""https://dealer-cdn.com/5Te5dx/WGAS3c/2022_Wells_Cargo_Motor_Trac_SS_Aluminum_Race_28_foot_14K_Cargo__Enclosed_Trailer_i4hbfMbdp8df.jpg""}]","","","","","","
                new","53,575.00","",""
